id_transaccion,fecha,id_empleado,id_proveedor,monto,concepto,tipo_pago,estado
T0001,2024-10-08,E001,P002,125000000,Pago contrato de suministros,Transferencia,Aprobado
T0002,2024-10-08,E001,P002,125000000,Duplicado de pago,Transferencia,Aprobado
T0003,2025-09-05,E004,P002,153835043,Consultoría especializada,Transferencia,Aprobado
T0004,2024-09-28,E004,P002,224966911,Adelanto contrato 001,Transferencia,Aprobado
T0005,2025-09-04,E001,P002,136841713,Consultoría especializada,Transferencia,Aprobado
T0006,2024-08-28,E001,P002,150871993,Pago contrato de suministros,Transferencia,Aprobado
T0007,2025-02-04,E001,P002,123363377,Consultoría especializada,Transferencia,Aprobado
T0008,2024-01-30,E004,P002,242181527,Adelanto contrato 001,Transferencia,Aprobado
T0009,2025-12-21,E004,P002,94229949,Consultoría especializada,Transferencia,Aprobado
T0010,2025-09-29,E001,P002,298455927,Adelanto contrato 001,Transferencia,Aprobado
T0011,2024-09-22,E001,P002,103346935,Importación de equipos,Transferencia,Aprobado
T0012,2025-08-24,E004,P002,191071418,Pago contrato de suministros,Transferencia,Aprobado
T0013,2024-07-31,E001,P002,313501829,Adelanto contrato 001,Transferencia,Aprobado
T0014,2024-01-04,E004,P002,226371109,Adelanto contrato 001,Transferencia,Aprobado
T0015,2025-08-19,E001,P002,209956916,Pago contrato de suministros,Transferencia,Aprobado
T0016,2025-12-22,E004,P002,299068251,Pago contrato de suministros,Transferencia,Aprobado
T0017,2025-08-15,E004,P002,184718731,Adelanto contrato 001,Transferencia,Aprobado
T0018,2025-04-09,E004,P002,91650609,Consultoría especializada,Transferencia,Aprobado
T0019,2025-08-02,E004,P002,178676829,Importación de equipos,Transferencia,Aprobado
T0020,2025-01-10,E001,P002,187517882,Importación de equipos,Transferencia,Aprobado
T0021,2024-06-14,E004,P002,244449711,Importación de equipos,Transferencia,Aprobado
T0022,2025-02-05,E004,P002,167170470,Pago contrato de suministros,Transferencia,Aprobado
T0023,2025-08-05,E023,P198,18515963,Consultoría de procesos,Efectivo,Pagado
T0024,2024-09-30,E062,P198,16836045,Consultoría de procesos,Cheque,Pagado
T0025,2025-10-13,E070,P198,16197204,Consultoría de procesos,Cheque,Pagado
T0026,2024-08-23,E069,P200,22105201,Consultoría de procesos,Efectivo,Pagado
